,energies,fluxes,errors,date,inst,spec_type
0,4.35,8904187.0,249585.1,25-10-2021,SolO-STEP,peak_flux
1,4.65,8004469.5,214871.97,25-10-2021,SolO-STEP,peak_flux
2,5.05,7106120.0,162609.1,25-10-2021,SolO-STEP,peak_flux
3,5.45,5282489.0,112389.27,25-10-2021,SolO-STEP,peak_flux
4,5.95,3762644.2,59359.402,25-10-2021,SolO-STEP,peak_flux
5,6.5,2127011.5,39723.86,25-10-2021,SolO-STEP,peak_flux
6,7.05,1598352.0,29560.445,25-10-2021,SolO-STEP,peak_flux
7,7.6,1427749.1,21638.484,25-10-2021,SolO-STEP,peak_flux
8,8.3,761968.44,15912.152,25-10-2021,SolO-STEP,peak_flux
9,9.05,579423.44,12213.894,25-10-2021,SolO-STEP,peak_flux
10,9.850000000000001,656727.2,9929.764,25-10-2021,SolO-STEP,peak_flux
11,10.75,451459.8,7710.139,25-10-2021,SolO-STEP,peak_flux
12,11.7,311258.38,6026.571,25-10-2021,SolO-STEP,peak_flux
13,12.75,399064.0,5199.975,25-10-2021,SolO-STEP,peak_flux
14,13.899999999999999,293394.97,4462.521,25-10-2021,SolO-STEP,peak_flux
15,15.1,185871.64,3908.9705,25-10-2021,SolO-STEP,peak_flux
16,16.45,168927.95,3292.1516,25-10-2021,SolO-STEP,peak_flux
17,17.950000000000003,160863.75,2842.9216,25-10-2021,SolO-STEP,peak_flux
18,19.550000000000004,147882.3,2407.803,25-10-2021,SolO-STEP,peak_flux
19,21.35,127458.74,1883.7554,25-10-2021,SolO-STEP,peak_flux
20,23.299999999999997,119605.82,1651.9799,25-10-2021,SolO-STEP,peak_flux
21,25.4,111843.22,1496.3585,25-10-2021,SolO-STEP,peak_flux
22,27.65,105347.234,1337.3901,25-10-2021,SolO-STEP,peak_flux
23,30.1,95296.08,1184.7244,25-10-2021,SolO-STEP,peak_flux
24,32.849999999999994,83311.2,1031.9253,25-10-2021,SolO-STEP,peak_flux
25,35.85,80083.5,934.94696,25-10-2021,SolO-STEP,peak_flux
26,39.050000000000004,74606.36,868.9694,25-10-2021,SolO-STEP,peak_flux
27,42.650000000000006,64171.742,750.00116,25-10-2021,SolO-STEP,peak_flux
28,46.599999999999994,60183.55,704.2186,25-10-2021,SolO-STEP,peak_flux
29,50.8,57353.992,676.60754,25-10-2021,SolO-STEP,peak_flux
30,55.3,54085.016,599.2185,25-10-2021,SolO-STEP,peak_flux
31,60.150000000000006,48748.81,565.6834,25-10-2021,SolO-STEP,peak_flux
