,energies,fluxes,errors,date,inst,spec_type
0,4.35,20093750.0,223151.12,20-01-2022,SolO-STEP,peak_flux
1,4.65,18413390.0,213504.53,20-01-2022,SolO-STEP,peak_flux
2,5.05,14426468.0,181628.88,20-01-2022,SolO-STEP,peak_flux
3,5.45,10350714.0,142592.83,20-01-2022,SolO-STEP,peak_flux
4,5.95,6549093.0,87533.71,20-01-2022,SolO-STEP,peak_flux
5,6.5,5015091.0,67847.83,20-01-2022,SolO-STEP,peak_flux
6,7.05,4491462.5,58143.926,20-01-2022,SolO-STEP,peak_flux
7,7.6,4039964.2,45610.184,20-01-2022,SolO-STEP,peak_flux
8,8.3,3609776.5,31627.352,20-01-2022,SolO-STEP,peak_flux
9,9.05,3293717.8,20284.566,20-01-2022,SolO-STEP,peak_flux
10,9.850000000000001,2739640.0,11928.931,20-01-2022,SolO-STEP,peak_flux
11,10.75,2467130.2,7224.834,20-01-2022,SolO-STEP,peak_flux
12,11.7,2068056.2,5389.612,20-01-2022,SolO-STEP,peak_flux
13,12.75,1887425.4,4909.515,20-01-2022,SolO-STEP,peak_flux
14,13.899999999999999,2051352.2,4329.7173,20-01-2022,SolO-STEP,peak_flux
15,15.1,1673828.1,4070.7424,20-01-2022,SolO-STEP,peak_flux
16,16.45,1605711.1,3598.1216,20-01-2022,SolO-STEP,peak_flux
17,17.950000000000003,1447106.6,3089.2998,20-01-2022,SolO-STEP,peak_flux
18,19.550000000000004,1332488.0,2751.6174,20-01-2022,SolO-STEP,peak_flux
19,21.35,1019843.94,2293.716,20-01-2022,SolO-STEP,peak_flux
20,23.299999999999997,1017122.2,2016.2438,20-01-2022,SolO-STEP,peak_flux
21,25.4,840709.7,1779.4652,20-01-2022,SolO-STEP,peak_flux
22,27.65,790711.9,1501.371,20-01-2022,SolO-STEP,peak_flux
23,30.1,667861.56,1368.9293,20-01-2022,SolO-STEP,peak_flux
24,32.849999999999994,541364.4,1172.4312,20-01-2022,SolO-STEP,peak_flux
25,35.85,520778.94,1053.2861,20-01-2022,SolO-STEP,peak_flux
26,39.050000000000004,484462.9,963.19244,20-01-2022,SolO-STEP,peak_flux
27,42.650000000000006,352652.66,824.3331,20-01-2022,SolO-STEP,peak_flux
28,46.599999999999994,331176.22,760.2828,20-01-2022,SolO-STEP,peak_flux
29,50.8,257881.27,699.24554,20-01-2022,SolO-STEP,peak_flux
30,55.3,270056.72,663.4371,20-01-2022,SolO-STEP,peak_flux
31,60.150000000000006,219094.23,607.8121,20-01-2022,SolO-STEP,peak_flux
